mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85/IC101A.cob;382;0,052600193;;
T; Cobol_85/IC102A.cob;48;0,005399704;;
T; Cobol_85/IC103A.cob;497;0,064201498;;
T; Cobol_85/IC104A.cob;71;0,007598925;;
T; Cobol_85/IC105A.cob;64;0,007800198;;
T; Cobol_85/IC106A.cob;530;0,076199961;;
T; Cobol_85/IC107A.cob;109;0,017199659;;
T; Cobol_85/IC108A.cob;444;0,060799122;;
T; Cobol_85/IC109A.cob;65;0,01180253;;
T; Cobol_85/IC110A.cob;69;0,012393761;;
T; Cobol_85/IC111A.cob;56;0,009598637;;
T; Cobol_85/IC112A.cob;555;0,072598505;;
T; Cobol_85/IC113A.cob;78;0,012400293;;
T; Cobol_85/IC114A.cob;471;0,06359868;;
T; Cobol_85/IC115A.cob;213;0,029800034;;
T; Cobol_85/IC116M.cob;343;0,02860117;;
T; Cobol_85/IC117M.cob;71;0,005399799;;
T; Cobol_85/IC118M.cob;55;0,005199003;;
T; Cobol_85/IC201A.cob;619;0,087798357;;
T; Cobol_85/IC202A.cob;58;0,007399559;;
T; Cobol_85/IC203A.cob;683;0,075211191;;
T; Cobol_85/IC204A.cob;73;0,010000277;;
T; Cobol_85/IC205A.cob;70;0,011599731;;
T; Cobol_85/IC206A.cob;56;0,009799862;;
T; Cobol_85/IC207A.cob;479;0,063430834;;
T; Cobol_85/IC208A.cob;103;0,007706785;;
T; Cobol_85/IC209A.cob;352;0,042606211;;
T; Cobol_85/IC210A.cob;50;0,007998228;;
T; Cobol_85/IC211A.cob;40;0,006601;;
T; Cobol_85/IC212A.cob;40;0,007198763;;
T; Cobol_85/IC213A.cob;341;0,046799803;;
T; Cobol_85/IC214A.cob;36;0,006198359;;
T; Cobol_85/IC215A.cob;40;0,005800247;;
T; Cobol_85/IC216A.cob;333;0,046199894;;
T; Cobol_85/IC217A.cob;48;0,007799387;;
T; Cobol_85/IC222A-1.cob;144;0,019798183;;
T; Cobol_85/IC222A.cob;1019;0,089598083;;
T; Cobol_85/IC223A-1.cob;129;0,018399906;;
T; Cobol_85/IC223A.cob;644;0,090999365;;
T; Cobol_85/IC224A-1.cob;128;0,018200636;;
T; Cobol_85/IC224A.cob;576;0,074798584;;
T; Cobol_85/IC225A-1.cob;122;0,017600822;;
T; Cobol_85/IC225A.cob;933;0,137599039;;
T; Cobol_85/IC226A-1.cob;119;0,016800785;;
T; Cobol_85/IC226A.cob;388;0,053999329;;
T; Cobol_85/IC227A-1.cob;232;0,02700057;;
T; Cobol_85/IC227A.cob;969;0,13079896;;
T; Cobol_85/IC228A.cob;445;0,056199884;;
T; Cobol_85/IC233A.cob;513;0,057400465;;
T; Cobol_85/IC234A.cob;737;0,074000168;;
T; Cobol_85/IC235A.cob;668;0,089598989;;
T; Cobol_85/IC237A-1.cob;107;0,013799858;;
T; Cobol_85/IC237A.cob;327;0,037801123;;
T; Cobol_85/IC401M.cob;74;0,010998917;;
T; Cobol_85/IF101A.cob;906;0,111526346;;
T; Cobol_85/IF102A.cob;617;0,075600576;;
T; Cobol_85/IF103A.cob;840;0,105400229;;
T; Cobol_85/IF104A.cob;927;0,108800268;;
T; Cobol_85/IF105A.cob;487;0,059199572;;
T; Cobol_85/IF106A.cob;1005;0,116999769;;
T; Cobol_85/IF107A.cob;379;0,047200251;;
T; Cobol_85/IF108A.cob;489;0,060399246;;
T; Cobol_85/IF109A.cob;451;0,056000948;;
T; Cobol_85/IF110A.cob;500;0,060799646;;
T; Cobol_85/IF111A.cob;731;0,090599394;;
T; Cobol_85/IF112A.cob;452;0,055800629;;
T; Cobol_85/IF113A.cob;451;0,058599997;;
T; Cobol_85/IF114A.cob;732;0,089398432;;
T; Cobol_85/IF115A.cob;450;0,055200529;;
T; Cobol_85/IF116A.cob;889;0,102399683;;
T; Cobol_85/IF117A.cob;1037;0,118601322;;
T; Cobol_85/IF118A.cob;544;0,065333223;;
T; Cobol_85/IF119A.cob;797;0,090403318;;
T; Cobol_85/IF120A.cob;684;0,07519927;;
T; Cobol_85/IF121A.cob;680;0,079599524;;
T; Cobol_85/IF122A.cob;680;0,076800299;;
T; Cobol_85/IF123A.cob;797;0,088000441;;
T; Cobol_85/IF124A.cob;761;0,093599415;;
T; Cobol_85/IF125A.cob;686;0,084600019;;
T; Cobol_85/IF126A.cob;886;0,100000048;;
T; Cobol_85/IF127A.cob;505;0,061599207;;
T; Cobol_85/IF128A.cob;647;0,075399685;;
T; Cobol_85/IF129A.cob;632;0,074000454;;
T; Cobol_85/IF130A.cob;818;0,099400425;;
T; Cobol_85/IF131A.cob;512;0,061999846;;
T; Cobol_85/IF132A.cob;633;0,077999878;;
T; Cobol_85/IF133A.cob;678;0,081799889;;
T; Cobol_85/IF134A.cob;546;0,067008686;;
T; Cobol_85/IF135A.cob;1036;0,116636658;;
T; Cobol_85/IF136A.cob;904;0,105998516;;
T; Cobol_85/IF137A.cob;725;0,090999365;;
T; Cobol_85/IF138A.cob;659;0,085400724;;
T; Cobol_85/IF139A.cob;992;0,123199797;;
T; Cobol_85/IF140A.cob;543;0,068603992;;
T; Cobol_85/IF141A.cob;692;0,080219364;;
T; Cobol_85/IF142A.cob;367;0,046417475;;
T; Cobol_85/IX101A.cob;507;0,067800045;;
T; Cobol_85/IX102A.cob;701;0,090200567;;
T; Cobol_85/IX103A.cob;757;0,102000189;;
T; Cobol_85/IX104A.cob;729;0,098199511;;
T; Cobol_85/IX105A.cob;875;0,095599651;;
T; Cobol_85/IX106A.cob;1233;0,159400511;;
T; Cobol_85/IX107A.cob;982;0,156798506;;
T; Cobol_85/IX108A.cob;1458;0,200599957;;
T; Cobol_85/IX109A.cob;1071;0,163799572;;
T; Cobol_85/IX110A.cob;620;0,095800352;;
T; Cobol_85/IX111A.cob;444;0,064999819;;
T; Cobol_85/IX112A.cob;876;0,128800154;;
T; Cobol_85/IX113A.cob;769;0,12159996;;
T; Cobol_85/IX114A.cob;720;0,105001593;;
T; Cobol_85/IX115A.cob;721;0,113586903;;
T; Cobol_85/IX116A.cob;721;0,116000605;;
T; Cobol_85/IX117A.cob;720;0,110399628;;
T; Cobol_85/IX118A.cob;722;0,107800245;;
T; Cobol_85/IX119A.cob;731;0,112599564;;
T; Cobol_85/IX120A.cob;705;0,108999205;;
T; Cobol_85/IX121A.cob;762;0,117201233;;
T; Cobol_85/IX201A.cob;506;0,068198442;;
T; Cobol_85/IX202A.cob;664;0,084198761;;
