filename; file size V1; file size V2; file size V1 no comment; file size V2 no comment; diff line count;LTS size V1; LTS size V2; CFG size V1; CFG size V2;;;;
ALCB018.COB ;1523;987;1298;699;2512;378;172;357;140;;Av diff line count #;Av line count # V1;Av line count V2
ALCB025.COB ;1205;914;1000;618;2121;311;172;302;140;;4401,772215;2680,626658;1719,145225
ALCB044.COB ;7678;3099;6923;2098;10779;1298;683;1167;483;;;;
ALCB073.COB ;1291;1070;1057;747;2363;343;184;331;151;;;;
ALCB087.COB ;12592;3119;11955;2248;15713;1068;689;966;523;;;;
ALCB096.COB ;2446;1103;2208;803;3551;382;187;379;168;;;;
ALCB207.COB ;1953;1431;1587;964;3386;372;151;367;129;;;;
ALCB212.COB ;1286;959;1039;635;2247;304;150;300;130;;;;
ALCB213.COB ;1409;1013;1162;689;2424;304;150;300;130;;;;
ALCB216.COB ;1126;917;889;599;2045;324;158;321;136;;;;
ALCB229.COB ;1267;1059;1013;714;2328;339;153;338;139;;;;
ALCB231.COB ;1693;1294;1428;940;2989;404;222;387;186;;;;
ALCB232.COB ;1478;957;1196;603;2437;309;126;303;104;;;;
ALCB233.COB ;1414;965;1138;613;2381;349;173;345;151;;;;
ALCB234.COB ;1474;971;1198;619;2447;349;173;345;151;;;;
ALCB327.COB ;1304;1122;1071;816;2428;363;194;344;158;;;;
ALCB328.COB ;1622;1216;1356;864;2840;437;209;418;174;;;;
ALCB332.COB ;1748;969;1444;602;2719;298;119;284;99;;;;
ALCB343.COB ;9294;2541;8775;1868;11837;962;550;909;450;;;;
ALCB369.COB ;2297;1830;1882;1245;4129;662;356;635;291;;;;
ALCB486.COB ;2923;1776;2558;1297;4701;512;293;497;245;;;;
ALCB487.COB ;3069;1590;2721;1150;4661;479;281;464;235;;;;
ALCB506.COB ;3804;1273;3415;822;5079;409;189;395;155;;;;
ALCB517.COB ;13160;7830;11162;4943;20992;3979;1616;3675;1094;;;;
ALCB527.COB ;6463;3880;5557;2675;10345;1654;803;1431;550;;;;
ALCB528.COB ;5969;2576;5287;1756;8547;1176;517;1060;396;;;;
ALCB530.COB ;6590;2369;5958;1678;8961;918;430;832;325;;;;
ALCB541.COB ;6572;2383;6058;1631;8957;873;404;835;312;;;;
ALCB576.COB ;3646;1381;3308;921;5029;400;226;373;180;;;;
ALCB581.COB ;5979;3959;5311;3044;9940;1179;641;1095;497;;;;
ALCB582.COB ;5375;3096;4786;2353;8473;898;493;823;381;;;;
ALCB583.COB ;5648;3084;5068;2338;8734;909;481;826;362;;;;
ALCB584.COB ;2254;1560;2006;1227;3816;318;158;314;136;;;;
ALCB585.COB ;2873;1981;2606;1609;4856;422;222;417;192;;;;
ALCB587.COB ;1228;952;984;626;2182;304;150;300;130;;;;
ALCB611.COB ;1919;1340;1586;881;3261;460;254;434;199;;;;
ALCB617.COB ;2069;1141;1782;750;3212;342;185;328;150;;;;
ALCB618.COB ;1700;1133;1418;744;2835;337;186;325;153;;;;
ALCB619.COB ;1700;1133;1418;744;2835;337;186;325;153;;;;
ALCB625.COB ;4072;1388;3733;926;5462;428;230;404;185;;;;
ALCB648.COB ;2605;1286;2299;846;3893;423;213;392;160;;;;
ALCB649.COB ;1808;1111;1571;809;2921;349;177;331;137;;;;
ALCB653.COB ;2348;1000;2075;653;3350;312;156;297;121;;;;
ALCB654.COB ;4321;1170;4006;780;5493;348;173;327;135;;;;
ALCB655.COB ;4352;1228;4034;828;5582;370;182;343;138;;;;
ALCB659.COB ;1690;979;1411;633;2671;312;149;299;120;;;;
ALCB660.COB ;1829;989;1555;647;2820;306;149;291;120;;;;
ALCB661.COB ;3782;975;3501;630;4759;306;147;294;120;;;;
ALCB665.COB ;3327;2000;2883;1409;5329;674;344;644;273;;;;
ALCB668.COB ;1075;904;857;615;1981;302;155;299;136;;;;
ALCB682.COB ;3320;2048;2876;1448;5370;678;399;642;322;;;;
ALCB683.COB ;2620;1683;2236;1167;4305;525;300;499;243;;;;
ALCB751.COB ;1532;794;1302;526;2328;264;106;263;95;;;;
ALCB756.COB ;1983;1226;1758;967;3211;225;84;224;74;;;;
ALCB937.COB ;8697;4148;7487;2736;12847;1217;649;963;356;;;;
ALCB997.COB ;4788;3216;4239;2427;8006;841;456;766;347;;;;
ALCC024.COB ;3269;2759;2492;2008;6030;1468;794;1383;618;;;;
ALCC025.COB ;2186;1585;1674;1120;3773;810;365;766;280;;;;
ALCC026.COB ;3218;2608;2452;1872;5828;1408;730;1325;564;;;;
ALCC027.COB ;3252;2628;2474;1880;5882;1419;734;1335;568;;;;
ALCC028.COB ;2175;1603;1640;1112;3780;823;373;780;285;;;;
ALCC029.COB ;2062;1507;1563;1053;3571;777;357;736;275;;;;
ALCC030.COB ;2910;2324;2186;1633;5236;1276;644;1203;497;;;;
