filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCB018.COB ; 1523 ; 987 ; 377 ; 166; False;57 ; 38 ; 45; 30;  0; 2
ALCB025.COB ; 1205 ; 914 ; 310 ; 162; False;126 ; 73 ; 118; 63;  0; 2
ALCB044.COB ; 7678 ; 3099 ; 1297 ; 646; False;135 ; 84 ; 125; 66;  0; 2
ALCB073.COB ; 1291 ; 1070 ; 342 ; 181; False;171 ; 88 ; 161; 78;  0; 2
ALCB087.COB ; 12592 ; 3119 ; 1067 ; 665; False;104 ; 83 ; 80; 61;  0; 6
ALCB096.COB ; 2446 ; 1103 ; 381 ; 188; False;240 ; 149 ; 211; 113;  6; 4
ALCB207.COB ; 1953 ; 1431 ; 371 ; 143; False;73 ; 47 ; 63; 40;  0; 2
ALCB212.COB ; 1286 ; 959 ; 303 ; 144; False;116 ; 72 ; 102; 62;  0; 2
ALCB213.COB ; 1409 ; 1013 ; 303 ; 144; False;116 ; 72 ; 102; 62;  0; 2
ALCB216.COB ; 1126 ; 917 ; 323 ; 154; False;117 ; 65 ; 107; 51;  0; 1
ALCB229.COB ; 1267 ; 1059 ; 338 ; 149; False;75 ; 44 ; 67; 38;  0; 2
ALCB231.COB ; 1693 ; 1294 ; 403 ; 215; False;155 ; 101 ; 139; 66;  2; 4
ALCB232.COB ; 1478 ; 957 ; 308 ; 119; False;52 ; 22 ; 38; 14;  0; 2
ALCB233.COB ; 1414 ; 965 ; 348 ; 166; False;153 ; 82 ; 139; 69;  0; 4
ALCB234.COB ; 1474 ; 971 ; 348 ; 166; False;153 ; 82 ; 139; 69;  0; 4
ALCB327.COB ; 1304 ; 1122 ; 362 ; 190; False;181 ; 141 ; 169; 120;  2; 0
ALCB328.COB ; 1622 ; 1216 ; 436 ; 198; False;181 ; 92 ; 171; 82;  0; 2
ALCB332.COB ; 1748 ; 969 ; 297 ; 115; False;134 ; 68 ; 122; 58;  4; 0
ALCB343.COB ; 9294 ; 2541 ; 961 ; 536; False;127 ; 71 ; 119; 63;  0; 4
ALCB369.COB ; 2297 ; 1830 ; 661 ; 343; False;81 ; 43 ; 71; 35;  0; 2
ALCB486.COB ; 2923 ; 1776 ; 511 ; 280; False;159 ; 79 ; 141; 67;  2; 4
ALCB487.COB ; 3069 ; 1590 ; 478 ; 268; False;149 ; 101 ; 135; 80;  4; 2
ALCB506.COB ; 3804 ; 1273 ; 408 ; 186; False;65 ; 45 ; 55; 34;  0; 2
ALCB517.COB ; 13160 ; 7830 ; 3978 ; 1566; False;87 ; 36 ; 57; 28;  0; 2
ALCB527.COB ; 6463 ; 3880 ; 1653 ; 803; False;71 ; 44 ; 59; 36;  0; 2
ALCB528.COB ; 5969 ; 2576 ; 1175 ; 516; False;69 ; 42 ; 57; 34;  0; 2
ALCB530.COB ; 6590 ; 2369 ; 917 ; 418; False;67 ; 42 ; 53; 34;  0; 2
ALCB541.COB ; 6572 ; 2383 ; 872 ; 401; False;67 ; 41 ; 57; 34;  0; 2
ALCB576.COB ; 3646 ; 1381 ; 399 ; 224; False;73 ; 42 ; 63; 32;  0; 2
ALCB581.COB ; 5979 ; 3959 ; 1178 ; 630; False;110 ; 91 ; 100; 74;  2; 2
ALCB582.COB ; 5375 ; 3096 ; 897 ; 477; False;185 ; 132 ; 154; 114;  2; 4
ALCB583.COB ; 5648 ; 3084 ; 908 ; 466; False;164 ; 116 ; 156; 91;  2; 0
