filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCB018.COB ; 1523 ; 987 ; 377 ; 166; False;43 ; 38 ; 43; 30;  0; 0
ALCB025.COB ; 1205 ; 914 ; 310 ; 162; False;104 ; 96 ; 104; 63;  0; 0
ALCB044.COB ; 7678 ; 3099 ; 1297 ; 646; False;111 ; 99 ; 109; 66;  0; 0
ALCB073.COB ; 1291 ; 1070 ; 342 ; 181; False;135 ; 127 ; 135; 82;  0; 0
ALCB087.COB ; 12592 ; 3119 ; 1067 ; 665; False;67 ; 61 ; 67; 39;  0; 0
ALCB096.COB ; 2446 ; 1103 ; 381 ; 188; False;61 ; 45 ; 59; 32;  0; 0
ALCB207.COB ; 1953 ; 1431 ; 371 ; 143; False;65 ; 45 ; 63; 32;  0; 0
ALCB212.COB ; 1286 ; 959 ; 303 ; 144; False;114 ; 94 ; 112; 62;  0; 0
ALCB213.COB ; 1409 ; 1013 ; 303 ; 144; False;114 ; 94 ; 112; 62;  0; 0
ALCB216.COB ; 1126 ; 917 ; 323 ; 154; False;109 ; 77 ; 107; 52;  0; 0
ALCB229.COB ; 1267 ; 1059 ; 338 ; 149; False;69 ; 44 ; 67; 31;  0; 0
ALCB231.COB ; 1693 ; 1294 ; 403 ; 215; False;109 ; 85 ; 107; 56;  0; 0
ALCB232.COB ; 1478 ; 957 ; 308 ; 119; False;40 ; 19 ; 38; 14;  0; 0
ALCB233.COB ; 1414 ; 965 ; 348 ; 166; False;64 ; 44 ; 62; 31;  0; 0
ALCB234.COB ; 1474 ; 971 ; 348 ; 166; False;64 ; 44 ; 62; 31;  0; 0
ALCB327.COB ; 1304 ; 1122 ; 362 ; 190; False;173 ; 153 ; 171; 104;  0; 0
ALCB328.COB ; 1622 ; 1216 ; 436 ; 198; False;158 ; 130 ; 156; 85;  0; 0
ALCB332.COB ; 1748 ; 969 ; 297 ; 115; False;62 ; 42 ; 60; 29;  0; 0
ALCB343.COB ; 9294 ; 2541 ; 961 ; 536; False;105 ; 95 ; 105; 63;  0; 0
ALCB369.COB ; 2297 ; 1830 ; 661 ; 343; False;71 ; 44 ; 69; 31;  0; 0
ALCB486.COB ; 2923 ; 1776 ; 511 ; 280; False;72 ; 59 ; 70; 41;  0; 0
ALCB487.COB ; 3069 ; 1590 ; 478 ; 268; False;70 ; 59 ; 68; 41;  0; 0
ALCB506.COB ; 3804 ; 1273 ; 408 ; 186; False;55 ; 41 ; 53; 28;  0; 0
ALCB517.COB ; 13160 ; 7830 ; 3978 ; 1566; False;59 ; 41 ; 59; 28;  0; 0
ALCB527.COB ; 6463 ; 3880 ; 1653 ; 803; False;59 ; 41 ; 57; 28;  0; 0
ALCB528.COB ; 5969 ; 2576 ; 1175 ; 516; False;57 ; 41 ; 55; 28;  0; 0
ALCB530.COB ; 6590 ; 2369 ; 917 ; 418; False;55 ; 41 ; 53; 28;  0; 0
ALCB541.COB ; 6572 ; 2383 ; 872 ; 401; False;57 ; 41 ; 55; 28;  0; 0
ALCB576.COB ; 3646 ; 1381 ; 399 ; 224; False;63 ; 41 ; 61; 28;  0; 0
ALCB581.COB ; 5979 ; 3959 ; 1178 ; 630; False;90 ; 91 ; 90; 64;  0; 0
ALCB582.COB ; 5375 ; 3096 ; 897 ; 477; False;95 ; 92 ; 93; 56;  0; 0
ALCB583.COB ; 5648 ; 3084 ; 908 ; 466; False;151 ; 142 ; 149; 92;  0; 0
ALCB584.COB ; 2254 ; 1560 ; 317 ; 151; False;118 ; 94 ; 116; 62;  0; 0
ALCB585.COB ; 2873 ; 1981 ; 421 ; 220; False;116 ; 100 ; 116; 67;  0; 0
ALCB587.COB ; 1228 ; 952 ; 303 ; 144; False;118 ; 94 ; 116; 62;  0; 0
ALCB611.COB ; 1919 ; 1340 ; 459 ; 245; False;107 ; 91 ; 105; 58;  0; 0
ALCB617.COB ; 2069 ; 1141 ; 341 ; 177; False;151 ; 120 ; 151; 80;  0; 0
ALCB618.COB ; 1700 ; 1133 ; 336 ; 178; False;163 ; 134 ; 163; 89;  0; 0
ALCB619.COB ; 1700 ; 1133 ; 336 ; 178; False;163 ; 134 ; 163; 89;  0; 0
ALCB625.COB ; 4072 ; 1388 ; 427 ; 223; False;89 ; 86 ; 89; 57;  0; 0
ALCB648.COB ; 2605 ; 1286 ; 422 ; 206; False;101 ; 88 ; 101; 60;  0; 0
ALCB649.COB ; 1808 ; 1111 ; 348 ; 170; False;107 ; 91 ; 107; 61;  0; 0
ALCB653.COB ; 2348 ; 1000 ; 311 ; 150; False;90 ; 84 ; 90; 50;  0; 0
ALCB654.COB ; 4321 ; 1170 ; 347 ; 167; False;83 ; 69 ; 83; 46;  0; 0
ALCB655.COB ; 4352 ; 1228 ; 369 ; 176; False;96 ; 86 ; 96; 55;  0; 0
ALCB659.COB ; 1690 ; 979 ; 311 ; 143; False;78 ; 65 ; 78; 43;  0; 0
ALCB660.COB ; 1829 ; 989 ; 305 ; 143; False;157 ; 130 ; 157; 83;  0; 0
ALCB661.COB ; 3782 ; 975 ; 305 ; 141; False;159 ; 126 ; 159; 82;  0; 0
ALCB665.COB ; 3327 ; 2000 ; 673 ; 339; False;188 ; 154 ; 186; 102;  0; 0
ALCB668.COB ; 1075 ; 904 ; 301 ; 154; False;98 ; 87 ; 96; 59;  0; 0
ALCB682.COB ; 3320 ; 2048 ; 677 ; 397; False;82 ; 71 ; 80; 49;  0; 0
ALCB683.COB ; 2620 ; 1683 ; 524 ; 292; False;80 ; 69 ; 78; 47;  0; 0
ALCB751.COB ; 1532 ; 794 ; 263 ; 106; False;61 ; 44 ; 59; 31;  0; 0
ALCB756.COB ; 1983 ; 1226 ; 224 ; 80; False;61 ; 44 ; 59; 31;  0; 0
ALCB937.COB ; 8697 ; 4148 ; 1216 ; 625; False;107 ; 97 ; 107; 64;  0; 0
ALCB997.COB ; 4788 ; 3216 ; 840 ; 437; False;64 ; 45 ; 62; 32;  0; 0
ALCC024.COB ; 3269 ; 2759 ; 1468 ; 782; False;18 ; 13 ; 18; 5;  0; 0
ALCC025.COB ; 2186 ; 1585 ; 810 ; 354; False;18 ; 12 ; 18; 5;  0; 0
ALCC026.COB ; 3218 ; 2608 ; 1408 ; 717; False;18 ; 13 ; 18; 5;  0; 0
ALCC027.COB ; 3252 ; 2628 ; 1419 ; 721; False;18 ; 13 ; 18; 5;  0; 0
ALCC028.COB ; 2175 ; 1603 ; 823 ; 367; False;46 ; 39 ; 44; 19;  0; 0
ALCC029.COB ; 2062 ; 1507 ; 777 ; 351; False;42 ; 33 ; 40; 17;  0; 0
ALCC030.COB ; 2910 ; 2324 ; 1276 ; 634; False;18 ; 13 ; 18; 5;  0; 0
ALCC031.COB ; 1962 ; 1446 ; 745 ; 339; False;18 ; 11 ; 18; 5;  0; 0
ALCC032.COB ; 2532 ; 1962 ; 1070 ; 526; False;18 ; 14 ; 18; 5;  0; 0
ALCC048.COB ; 2097 ; 1518 ; 774 ; 348; False;40 ; 30 ; 38; 16;  0; 0
ALCC049.COB ; 2191 ; 1565 ; 792 ; 348; False;40 ; 30 ; 38; 16;  0; 0
ALCC065.COB ; 2757 ; 2322 ; 1305 ; 674; False;56 ; 52 ; 54; 28;  0; 0
ALCC066.COB ; 3860 ; 2695 ; 1580 ; 737; False;22 ; 17 ; 22; 7;  0; 0
ALCC067.COB ; 2078 ; 1526 ; 792 ; 353; False;9 ; 10 ; 9; 5;  0; 0
ALCC068.COB ; 2198 ; 1564 ; 802 ; 337; False;18 ; 12 ; 18; 5;  0; 0
ALCC070.COB ; 2260 ; 1705 ; 932 ; 443; False;26 ; 19 ; 26; 7;  0; 0
ALCC200.COB ; 1726 ; 1170 ; 692 ; 294; False;34 ; 23 ; 32; 13;  0; 0
ALCP021.COB ; 4767 ; 2325 ; 762 ; 222; False;187 ; 103 ; 187; 73;  0; 0
ALCP022.COB ; 2269 ; 798 ; 343 ; 112; False;28 ; 21 ; 28; 13;  0; 0
ALCP023.COB ; 547 ; 425 ; 148 ; 48; True;127 ; 84 ; 127; 46;  0; 0
ALCP040.COB ; 3860 ; 880 ; 346 ; 142; False;32 ; 23 ; 32; 14;  0; 0
ALCP041.COB ; 879 ; 608 ; 121 ; 37; False;61 ; 39 ; 61; 27;  0; 0
