filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
ALCB018.COB ; 1523 ; 987 ; 378 ; 172; 175 ; 198 ; 165; 106
ALCB025.COB ; 1205 ; 914 ; 311 ; 172; 100 ; 103 ; 98; 60
ALCB044.COB ; 7678 ; 3099 ; 1298 ; 683; 75 ; 77 ; 71; 42
ALCB073.COB ; 1291 ; 1070 ; 343 ; 184; 217 ; 241 ; 213; 127
ALCB087.COB ; 12592 ; 3119 ; 1068 ; 689; 28 ; 30 ; 22; 14
ALCB096.COB ; 2446 ; 1103 ; 382 ; 187; 305 ; 343 ; 293; 181
ALCB207.COB ; 1953 ; 1431 ; 372 ; 151; 29 ; 32 ; 27; 18
ALCB212.COB ; 1286 ; 959 ; 304 ; 150; 40 ; 33 ; 34; 23
ALCB213.COB ; 1409 ; 1013 ; 304 ; 150; 40 ; 33 ; 34; 23
ALCB216.COB ; 1126 ; 917 ; 324 ; 158; 273 ; 289 ; 269; 146
ALCB229.COB ; 1267 ; 1059 ; 339 ; 153; 154 ; 149 ; 150; 86
ALCB231.COB ; 1693 ; 1294 ; 404 ; 222; 39 ; 35 ; 37; 19
ALCB232.COB ; 1478 ; 957 ; 309 ; 126; 29 ; 30 ; 27; 18
ALCB233.COB ; 1414 ; 965 ; 349 ; 173; 269 ; 273 ; 263; 149
ALCB234.COB ; 1474 ; 971 ; 349 ; 173; 269 ; 273 ; 263; 149
ALCB327.COB ; 1304 ; 1122 ; 363 ; 194; 72 ; 72 ; 70; 43
ALCB328.COB ; 1622 ; 1216 ; 437 ; 209; 193 ; 224 ; 189; 118
ALCB332.COB ; 1748 ; 969 ; 298 ; 119; 81 ; 59 ; 79; 38
ALCB343.COB ; 9294 ; 2541 ; 961 ; 550; 27 ; 30 ; 25; 18
ALCB369.COB ; 2297 ; 1830 ; 662 ; 356; 165 ; 148 ; 157; 82
ALCB486.COB ; 2923 ; 1776 ; 512 ; 293; 27 ; 26 ; 21; 14
ALCB487.COB ; 3069 ; 1590 ; 479 ; 281; 27 ; 26 ; 21; 14
ALCB506.COB ; 3804 ; 1273 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB517.COB ; 13160 ; 7830 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB527.COB ; 6463 ; 3880 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB528.COB ; 5969 ; 2576 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB530.COB ; 6590 ; 2369 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB541.COB ; 6572 ; 2383 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB576.COB ; 3646 ; 1381 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB581.COB ; 5979 ; 3959 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB582.COB ; 5375 ; 3096 ; 898 ; 495; 27 ; 26 ; 21; 14
ALCB583.COB ; 5648 ; 3084 ; 909 ; 483; 29 ; 38 ; 27; 24
ALCB584.COB ; 2254 ; 1560 ; 318 ; 158; 113 ; 116 ; 105; 64
ALCB585.COB ; 2873 ; 1981 ; 422 ; 222; 118 ; 128 ; 114; 72
ALCB587.COB ; 1228 ; 952 ; 304 ; 150; 113 ; 116 ; 105; 64
ALCB611.COB ; 1919 ; 1340 ; 460 ; 254; 38 ; 51 ; 32; 24
ALCB617.COB ; 2069 ; 1141 ; 342 ; 185; 230 ; 257 ; 222; 129
ALCB618.COB ; 1700 ; 1133 ; 337 ; 186; 236 ; 278 ; 230; 137
ALCB619.COB ; 1700 ; 1133 ; 337 ; 186; 236 ; 278 ; 230; 137
ALCB625.COB ; 4072 ; 1388 ; 428 ; 231; 81 ; 106 ; 75; 51
ALCB648.COB ; 2605 ; 1286 ; 423 ; 213; 29 ; 30 ; 25; 18
ALCB649.COB ; 1808 ; 1111 ; 349 ; 177; 29 ; 30 ; 27; 18
ALCB653.COB ; 2348 ; 1000 ; 312 ; 156; 24 ; 25 ; 20; 14
ALCB654.COB ; 4321 ; 1170 ; 348 ; 174; 85 ; 73 ; 75; 41
ALCB655.COB ; 4352 ; 1228 ; 370 ; 183; 92 ; 80 ; 82; 46
ALCB659.COB ; 1690 ; 979 ; 312 ; 149; 24 ; 25 ; 20; 14
ALCB660.COB ; 1829 ; 989 ; 306 ; 149; 73 ; 63 ; 67; 38
ALCB661.COB ; 3782 ; 975 ; 306 ; 147; 76 ; 66 ; 70; 40
ALCB665.COB ; 3327 ; 2000 ; 674 ; 344; 175 ; 180 ; 171; 97
ALCB668.COB ; 1075 ; 904 ; 302 ; 155; 147 ; 172 ; 139; 89
ALCB682.COB ; 3320 ; 2048 ; 678 ; 399; 170 ; 197 ; 166; 118
ALCB683.COB ; 2620 ; 1683 ; 525 ; 300; 110 ; 133 ; 106; 73
ALCB751.COB ; 1532 ; 794 ; 264 ; 106; 185 ; 194 ; 181; 100
ALCB756.COB ; 1983 ; 1226 ; 225 ; 84; 139 ; 123 ; 137; 71
ALCB937.COB ; 8697 ; 4148 ; 1217 ; 649; 38 ; 34 ; 32; 20
ALCB997.COB ; 4788 ; 3216 ; 841 ; 459; 149 ; 169 ; 144; 94
ALCC024.COB ; 3269 ; 2759 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC025.COB ; 2186 ; 1585 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC026.COB ; 3218 ; 2608 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC027.COB ; 3252 ; 2628 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC028.COB ; 2175 ; 1603 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC029.COB ; 2062 ; 1507 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC030.COB ; 2910 ; 2324 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC031.COB ; 1962 ; 1446 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC032.COB ; 2532 ; 1962 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC048.COB ; 2097 ; 1518 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC049.COB ; 2191 ; 1565 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC065.COB ; 2757 ; 2322 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC066.COB ; 3860 ; 2695 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC067.COB ; 2078 ; 1526 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
