filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCB018.COB ; 1523 ; 987 ; 378 ; 172; 79 ; 96 ; 77; 58;  0; 0
ALCB025.COB ; 1205 ; 914 ; 311 ; 171; 100 ; 103 ; 100; 60;  0; 0
ALCB044.COB ; 7678 ; 3099 ; 1298 ; 671; 73 ; 75 ; 73; 42;  0; 0
ALCB073.COB ; 1291 ; 1070 ; 343 ; 182; 115 ; 108 ; 115; 70;  0; 0
ALCB087.COB ; 12592 ; 3119 ; 1068 ; 685; 24 ; 26 ; 24; 14;  0; 0
ALCB096.COB ; 2446 ; 1103 ; 380 ; 187; 164 ; 187 ; 162; 104;  0; 0
ALCB207.COB ; 1953 ; 1431 ; 372 ; 151; 29 ; 28 ; 27; 18;  0; 0
ALCB212.COB ; 1286 ; 959 ; 304 ; 150; 36 ; 33 ; 34; 23;  0; 0
ALCB213.COB ; 1409 ; 1013 ; 304 ; 150; 36 ; 33 ; 34; 23;  0; 0
ALCB216.COB ; 1126 ; 917 ; 324 ; 157; 71 ; 84 ; 69; 47;  0; 0
ALCB229.COB ; 1267 ; 1059 ; 339 ; 153; 150 ; 147 ; 148; 86;  0; 0
ALCB231.COB ; 1693 ; 1294 ; 404 ; 220; 39 ; 30 ; 37; 19;  0; 0
ALCB232.COB ; 1478 ; 957 ; 309 ; 126; 29 ; 28 ; 27; 18;  0; 0
ALCB233.COB ; 1414 ; 965 ; 349 ; 173; 62 ; 75 ; 60; 42;  0; 0
ALCB234.COB ; 1474 ; 971 ; 349 ; 173; 62 ; 75 ; 60; 42;  0; 0
ALCB327.COB ; 1304 ; 1122 ; 363 ; 192; 72 ; 70 ; 70; 43;  0; 0
ALCB328.COB ; 1622 ; 1216 ; 437 ; 209; 147 ; 164 ; 145; 97;  0; 0
ALCB332.COB ; 1748 ; 969 ; 298 ; 118; 81 ; 59 ; 79; 40;  0; 0
ALCB343.COB ; 9294 ; 2541 ; 962 ; 546; 29 ; 28 ; 27; 18;  0; 0
ALCB369.COB ; 2297 ; 1830 ; 662 ; 353; 77 ; 72 ; 75; 40;  0; 0
ALCB486.COB ; 2923 ; 1776 ; 512 ; 293; 23 ; 22 ; 21; 14;  0; 0
ALCB487.COB ; 3069 ; 1590 ; 479 ; 281; 23 ; 22 ; 21; 14;  0; 0
ALCB506.COB ; 3804 ; 1273 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
