filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCB018.COB ; 1523 ; 987 ; 378 ; 172; 175 ; 198 ; 165; 106;  8; 0
ALCB025.COB ; 1205 ; 914 ; 311 ; 172; 100 ; 103 ; 98; 60;  2; 0
ALCB044.COB ; 7678 ; 3099 ; 1298 ; 683; 75 ; 77 ; 71; 42;  2; 0
ALCB073.COB ; 1291 ; 1070 ; 343 ; 184; 217 ; 244 ; 213; 127;  4; 0
ALCB087.COB ; 12592 ; 3119 ; 1068 ; 689; 28 ; 30 ; 22; 14;  2; 0
ALCB096.COB ; 2446 ; 1103 ; 382 ; 187; 305 ; 343 ; 293; 181;  10; 0
ALCB207.COB ; 1953 ; 1431 ; 372 ; 151; 166 ; 103 ; 164; 65;  0; 1
ALCB212.COB ; 1286 ; 959 ; 304 ; 150; 40 ; 33 ; 34; 23;  2; 0
ALCB213.COB ; 1409 ; 1013 ; 304 ; 150; 40 ; 33 ; 34; 23;  2; 0
ALCB216.COB ; 1126 ; 917 ; 324 ; 158; 273 ; 290 ; 269; 146;  4; 0
ALCB229.COB ; 1267 ; 1059 ; 339 ; 153; 154 ; 149 ; 150; 86;  2; 0
ALCB231.COB ; 1693 ; 1294 ; 404 ; 222; 38 ; 35 ; 36; 19;  0; 2
ALCB232.COB ; 1478 ; 957 ; 309 ; 126; 114 ; 110 ; 114; 53;  0; 4
ALCB233.COB ; 1414 ; 965 ; 349 ; 173; 269 ; 273 ; 263; 149;  4; 0
ALCB234.COB ; 1474 ; 971 ; 349 ; 173; 269 ; 273 ; 263; 149;  4; 0
ALCB327.COB ; 1304 ; 1122 ; 363 ; 194; 155 ; 148 ; 153; 90;  0; 2
ALCB328.COB ; 1622 ; 1216 ; 437 ; 209; 193 ; 225 ; 189; 118;  4; 0
ALCB332.COB ; 1748 ; 969 ; 298 ; 119; 80 ; 59 ; 78; 38;  0; 2
ALCB343.COB ; 9294 ; 2541 ; 962 ; 550; 51 ; 55 ; 49; 31;  0; 3
ALCB369.COB ; 2297 ; 1830 ; 662 ; 356; 165 ; 148 ; 157; 82;  6; 0
ALCB486.COB ; 2923 ; 1776 ; 512 ; 293; 27 ; 26 ; 21; 14;  2; 0
ALCB487.COB ; 3069 ; 1590 ; 479 ; 281; 27 ; 26 ; 21; 14;  2; 0
ALCB506.COB ; 3804 ; 1273 ; 409 ; 189; 189 ; 208 ; 173; 89;  10; 0
