filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2;133;%Explored V1;% Explored V2;%Match V1;%Match V2;; Explored V2 ; matches V2;% Ex;% match;Inc ex;inc Match;
ALCB018.COB ;1523;987;377;166; False;43;32;43;30;0;0;;11%;19%;11%;18%;;38;30;23%;18%;4%;0%;#VALEUR!
ALCB025.COB ;1205;914;310;162; False;104;65;104;63;0;0;;34%;40%;34%;39%;;73;63;45%;39%;5%;0%;2843
ALCB044.COB ;7678;3099;1297;646; False;111;68;109;66;0;0;;9%;11%;8%;10%;;84;66;13%;10%;2%;0%;2128
ALCB073.COB ;1291;1070;342;181; False;135;84;135;82;0;0;;39%;46%;39%;45%;;88;78;49%;43%;3%;-2%;
ALCB087.COB ;12592;3119;1067;665; False;67;45;67;39;0;0;;6%;7%;6%;6%;;83;61;12%;9%;5%;3%;
ALCB096.COB ;2446;1103;381;188; False;61;34;59;32;0;0;;16%;18%;15%;17%;;149;113;79%;60%;61%;43%;
ALCB207.COB ;1953;1431;371;143; False;65;34;63;32;0;0;;18%;24%;17%;22%;;47;40;33%;28%;9%;6%;
ALCB212.COB ;1286;959;303;144; False;114;64;112;62;0;0;;38%;44%;37%;43%;;72;62;50%;43%;6%;0%;
ALCB213.COB ;1409;1013;303;144; False;114;64;112;62;0;0;;38%;44%;37%;43%;;72;62;50%;43%;6%;0%;
ALCB216.COB ;1126;917;323;154; False;109;53;107;52;0;0;;34%;34%;33%;34%;;65;51;42%;33%;8%;-1%;
ALCB229.COB ;1267;1059;338;149; False;69;33;67;31;0;0;;20%;22%;20%;21%;;44;38;30%;26%;8%;5%;
ALCB231.COB ;1693;1294;403;215; False;109;58;107;56;0;0;;27%;27%;27%;26%;;101;66;47%;31%;20%;5%;
ALCB232.COB ;1478;957;308;119; False;40;16;38;14;0;0;;13%;13%;12%;12%;;22;14;18%;12%;5%;0%;
ALCB233.COB ;1414;965;348;166; False;64;33;62;31;0;0;;18%;20%;18%;19%;;82;69;49%;42%;29%;23%;
ALCB234.COB ;1474;971;348;166; False;64;33;62;31;0;0;;18%;20%;18%;19%;;82;69;49%;42%;29%;23%;
ALCB327.COB ;1304;1122;362;190; False;173;104;171;104;0;0;;48%;55%;47%;55%;;141;120;74%;63%;19%;8%;
ALCB328.COB ;1622;1216;436;198; False;158;87;156;85;0;0;;36%;44%;36%;43%;;92;82;46%;41%;2%;-2%;
ALCB332.COB ;1748;969;297;115; False;62;31;60;29;0;0;;21%;27%;20%;25%;;68;58;59%;50%;32%;25%;
ALCB343.COB ;9294;2541;961;536; False;105;67;105;63;0;0;;11%;13%;11%;12%;;71;63;13%;12%;0%;0%;
ALCB369.COB ;2297;1830;661;343; False;71;33;69;31;0;0;;11%;10%;10%;9%;;43;35;13%;10%;3%;1%;
ALCB486.COB ;2923;1776;511;280; False;72;43;70;41;0;0;;14%;15%;14%;15%;;79;67;28%;24%;13%;9%;
ALCB487.COB ;3069;1590;478;268; False;70;43;68;41;0;0;;15%;16%;14%;15%;;101;80;38%;30%;22%;15%;
ALCB506.COB ;3804;1273;408;186; False;55;30;53;28;0;0;;13%;16%;13%;15%;;45;34;24%;18%;8%;3%;
ALCB517.COB ;13160;7830;3978;1566; False;59;30;59;28;0;0;;1%;2%;1%;2%;;36;28;2%;2%;0%;0%;
ALCB527.COB ;6463;3880;1653;803; False;59;30;57;28;0;0;;4%;4%;3%;3%;;44;36;5%;4%;1%;1%;
ALCB528.COB ;5969;2576;1175;516; False;57;30;55;28;0;0;;5%;6%;5%;5%;;42;34;8%;7%;2%;2%;
ALCB530.COB ;6590;2369;917;418; False;55;30;53;28;0;0;;6%;7%;6%;7%;;42;34;10%;8%;3%;1%;
ALCB541.COB ;6572;2383;872;401; False;57;30;55;28;0;0;;7%;7%;6%;7%;;41;34;10%;8%;3%;1%;
ALCB576.COB ;3646;1381;399;224; False;63;30;61;28;0;0;;16%;13%;15%;13%;;42;32;19%;14%;6%;1%;
ALCB581.COB ;5979;3959;1178;630; False;90;66;90;64;0;0;;8%;10%;8%;10%;;91;74;14%;12%;4%;2%;
ALCB582.COB ;5375;3096;897;477; False;95;58;93;56;0;0;;11%;12%;10%;12%;;132;114;28%;24%;16%;12%;
ALCB583.COB ;5648;3084;908;466; False;151;92;149;92;0;0;;17%;20%;16%;20%;;116;91;25%;20%;5%;0%;
ALCB584.COB ;2254;1560;317;151; False;118;64;116;62;0;0;;37%;42%;37%;41%;;72;62;48%;41%;6%;0%;
ALCB585.COB ;2873;1981;421;220; False;116;69;116;67;0;0;;28%;31%;28%;30%;;75;67;34%;30%;3%;0%;
ALCB587.COB ;1228;952;303;144; False;118;64;116;62;0;0;;39%;44%;38%;43%;;72;62;50%;43%;6%;0%;
ALCB611.COB ;1919;1340;459;245; False;107;60;105;58;0;0;;23%;24%;23%;24%;;68;56;28%;23%;4%;-1%;
ALCB617.COB ;2069;1141;341;177; False;151;82;151;80;0;0;;44%;46%;44%;45%;;96;86;54%;49%;8%;4%;
ALCB618.COB ;1700;1133;336;178; False;163;91;163;89;0;0;;49%;51%;49%;50%;;96;86;54%;48%;3%;-2%;
ALCB619.COB ;1700;1133;336;178; False;163;91;163;89;0;0;;49%;51%;49%;50%;;96;86;54%;48%;3%;-2%;
ALCB625.COB ;4072;1388;427;223; False;89;59;89;57;0;0;;21%;26%;21%;26%;;83;73;37%;33%;11%;7%;
ALCB648.COB ;2605;1286;422;206; False;101;63;101;60;0;0;;24%;31%;24%;29%;;75;60;36%;29%;5%;0%;
ALCB649.COB ;1808;1111;348;170; False;107;63;107;61;0;0;;31%;37%;31%;36%;;71;61;42%;36%;5%;0%;
ALCB653.COB ;2348;1000;311;150; False;90;53;90;50;0;0;;29%;35%;29%;33%;;59;50;39%;33%;4%;0%;
ALCB654.COB ;4321;1170;347;167; False;83;48;83;46;0;0;;24%;29%;24%;28%;;92;80;55%;48%;26%;20%;
ALCB655.COB ;4352;1228;369;176; False;96;57;96;55;0;0;;26%;32%;26%;31%;;88;78;50%;44%;18%;13%;
